Complex_name,Embedding,Confidence_score,Hetero_graph_path
SFKYKNIIEFCNBX-UHFFFAOYSA-N_P14902_2D0T,"[[ -9.893141     2.1869173  -18.579506   ... -22.560337   -32.984917
   -4.252519  ]
 [-27.899956    33.134567   -16.35252    ...   6.371177    39.52583
    4.7397885 ]
 [-25.901243    30.441227   -31.31398    ...  14.595484     7.293635
   -4.1984034 ]
 ...
 [  4.666527     7.731788    11.277381   ...  -4.0747695    1.2385882
   15.158026  ]
 [ 11.26293      6.429548     9.589236   ...   4.7288504   -6.6730585
   -4.0632772 ]
 [ -0.98817396  -2.391899     0.5793648  ...   9.481355    -3.285303
    2.3334956 ]]",-1.94,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/SFKYKNIIEFCNBX-UHFFFAOYSA-N_P14902_2D0T/hetero_graph_SFKYKNIIEFCNBX-UHFFFAOYSA-N_P14902_2D0T.pt
DFBCBGRDZHMYBK-SSDOTTSWSA-N_P00915_2NMX,"[[ -9.376244   11.027792   37.265198  ...   8.419882   -2.7881222
   -1.0281315]
 [ -6.599953   25.527472   25.550089  ...  23.159672  -19.334488
   22.058731 ]
 [  7.4354424   3.707354   27.60559   ...   8.128912  -16.986977
   -5.6676664]
 ...
 [  7.5323925  10.558594   -1.8350093 ...  -2.6359267  -4.5779223
   -1.1469479]
 [  5.827154   -4.904545   12.601177  ...  -7.3896027  -2.8340864
   18.345446 ]
 [  8.404751    2.3068633  16.333391  ...   6.7129583   5.3191576
   -6.080598 ]]",-0.37,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/DFBCBGRDZHMYBK-SSDOTTSWSA-N_P00915_2NMX/hetero_graph_DFBCBGRDZHMYBK-SSDOTTSWSA-N_P00915_2NMX.pt
DGNSCFJXXIDGDP-UHFFFAOYSA-N_O75164_5VAR,"[[ -1.3866692   -7.049881    13.860617   ... -14.773889    26.28255
  -17.378689  ]
 [-11.491277   -18.055248    26.007254   ... -13.167981    10.468628
  -17.699003  ]
 [-40.131287    -2.8106217   20.449041   ...  -3.3075085   36.60814
   -1.224289  ]
 ...
 [ 13.600001     3.7941341   13.812355   ...   4.8445024   -3.1173868
   -0.43014932]
 [ 10.508965    13.60335      9.231878   ...   5.3555574    3.0934596
   -6.2572412 ]
 [ -2.2054281    9.278608     6.6280956  ...   5.8087697   -3.3685627
   -4.9283304 ]]",-2.16,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/DGNSCFJXXIDGDP-UHFFFAOYSA-N_O75164_5VAR/hetero_graph_DGNSCFJXXIDGDP-UHFFFAOYSA-N_O75164_5VAR.pt
KWFCSTISDGNRBW-UHFFFAOYSA-N_P69560_3JCU,,,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/KWFCSTISDGNRBW-UHFFFAOYSA-N_P69560_3JCU/hetero_graph_KWFCSTISDGNRBW-UHFFFAOYSA-N_P69560_3JCU.pt
NOPRXUBTQBLVCQ-UHFFFAOYSA-N_Q9HC16_3V4J,"[[-16.051098  -12.259336    2.415141  ...  30.63745    -4.5034766
   14.348501 ]
 [ 12.108335  -12.338566    2.1167126 ...  46.35993    14.127172
   15.623874 ]
 [ -8.085286   -8.680489   -9.201115  ...  10.7778     11.519196
    2.1295261]
 ...
 [ 11.330014   12.944216   10.157317  ...   1.031204    5.842702
   -1.5708189]
 [ -6.7700596   8.211466    6.615106  ...  -5.0135646  17.549004
   -1.0064945]
 [-11.70951    14.360304   19.341152  ...  -7.282708    8.986682
   -6.1421027]]",-0.94,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/NOPRXUBTQBLVCQ-UHFFFAOYSA-N_Q9HC16_3V4J/hetero_graph_NOPRXUBTQBLVCQ-UHFFFAOYSA-N_Q9HC16_3V4J.pt
LHIQNSIRCHEIBK-UHFFFAOYSA-N_P35228_1NSI,"[[ 26.267612    -6.466275     3.3937328  ...   4.4640446    5.40454
    0.31631547]
 [ 26.378796     5.848837     9.411097   ... -15.498474    14.642666
  -32.029156  ]
 [-19.195084    21.690413    29.964542   ...  -2.124179   -17.237713
  -11.840981  ]
 ...
 [ 16.14785      3.936421    16.629108   ...   8.396742     8.001095
    5.382674  ]
 [  9.853886     3.9405875   12.2284355  ...  33.971466    20.929588
   19.455791  ]
 [ -0.8877506    0.81941843  -2.6037674  ...   9.063273   -42.39789
   28.521402  ]]",-0.88,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/LHIQNSIRCHEIBK-UHFFFAOYSA-N_P35228_1NSI/hetero_graph_LHIQNSIRCHEIBK-UHFFFAOYSA-N_P35228_1NSI.pt
CKEKULWTUGAESO-UHFFFAOYSA-N_Q16853_4BTX,,,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/CKEKULWTUGAESO-UHFFFAOYSA-N_Q16853_4BTX/hetero_graph_CKEKULWTUGAESO-UHFFFAOYSA-N_Q16853_4BTX.pt
ULWSONREDISANN-UHFFFAOYSA-N_P27338_2XCG,"[[ -5.1187034    0.04230022  -2.116835   ...  -3.408164     3.2354283
  -14.08488   ]
 [  5.000184     5.5597486  -14.873262   ...  35.00971     15.821807
  -26.288853  ]
 [-15.904974    14.726536    -7.5066733  ...   8.207271    14.879937
    7.4551306 ]
 ...
 [ -3.4222574    4.2488484    5.665041   ...  -5.900332    -4.179285
    8.512005  ]
 [  6.3167152    1.1330256    3.71474    ...   1.7911808    4.7761393
   -0.80005133]
 [  4.765507     6.8480268   11.164122   ...   2.9880862   -3.5978205
   -3.4427779 ]]",-0.3,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/ULWSONREDISANN-UHFFFAOYSA-N_P27338_2XCG/hetero_graph_ULWSONREDISANN-UHFFFAOYSA-N_P27338_2XCG.pt
GZUALTJOLIABKE-UHFFFAOYSA-N_P05979_1CQE,"[[  7.0090446   -4.844925    17.500175   ...   0.3726275   -2.0068917
  -10.992033  ]
 [ -2.560352    22.981632     3.1236644  ...  19.848309    19.481249
  -23.417381  ]
 [  0.27598906   2.603719     9.775009   ... -10.973329    -3.6748848
   20.191927  ]
 ...
 [  9.943884    10.112167     4.775194   ...   0.80266905   2.4198222
   -3.1058755 ]
 [  8.78971      3.0495462    2.0945008  ...  -4.756531     1.9189472
   -1.3615569 ]
 [ 11.513768     2.2732244   16.228775   ...   3.5371413    3.5183053
    1.5588006 ]]",-0.99,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/GZUALTJOLIABKE-UHFFFAOYSA-N_P05979_1CQE/hetero_graph_GZUALTJOLIABKE-UHFFFAOYSA-N_P05979_1CQE.pt
MMYGCHWXDWRDHW-UHFFFAOYSA-N_Q96LD8_1XT9,"[[  9.1819935   -0.49545336  10.982629   ...  25.639492    11.37789
    8.470961  ]
 [ 15.18988     10.025094     3.390085   ...  -0.9947262    6.012882
  -90.78815   ]
 [-17.448856     4.215154     1.990711   ...   1.462415    38.516495
  -37.0472    ]
 ...
 [  2.9165301    0.22822237   3.3283434  ...  10.536161    -0.6917084
   -2.1740015 ]
 [ 14.617449    11.109964    14.854551   ...  -4.6269584    2.0905929
    1.1348687 ]
 [ 15.654771    -2.4105954    6.570468   ...  -3.2304583   -0.55140495
   -4.483617  ]]",-2.07,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/MMYGCHWXDWRDHW-UHFFFAOYSA-N_Q96LD8_1XT9/hetero_graph_MMYGCHWXDWRDHW-UHFFFAOYSA-N_Q96LD8_1XT9.pt
KCWZGJVSDFYRIX-YFKPBYRVSA-N_P29477_4UX6,"[[ 22.70838     15.167494    33.296806   ...   3.5745935   -8.443426
   -0.14843082]
 [-29.192272    -0.4112705   17.397768   ...  13.39745      2.7787333
   -3.606164  ]
 [-25.793943    -7.557604    12.189758   ...   5.2926855  -10.775933
   13.782967  ]
 ...
 [  9.980623    10.162912     1.8677571  ...  -9.848544     5.5259523
   -5.4051943 ]
 [ 26.26722      7.0390534   16.161427   ...  18.421085    15.997813
    1.5384802 ]
 [ 23.857098     7.284043     7.763576   ...  -3.1086423   -8.494343
  -12.163648  ]]",-0.88,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/KCWZGJVSDFYRIX-YFKPBYRVSA-N_P29477_4UX6/hetero_graph_KCWZGJVSDFYRIX-YFKPBYRVSA-N_P29477_4UX6.pt
WRLUODMOTSXWIP-BYPYZUCNSA-N_P29476_1B8Q,"[[-17.821735    -1.6309268   -0.538465   ...  21.443678    25.040907
    6.422687  ]
 [  3.2577028   -4.1758633   14.410044   ...   7.4660153   27.441093
  -30.460375  ]
 [  3.073411    -8.445476     5.15973    ...   9.013678   -23.790619
  -36.324905  ]
 ...
 [  0.26374912 -11.6068      19.5692     ...   4.5045886  -14.786387
    8.15821   ]
 [  3.6472864   -4.4147344    9.3803215  ...  12.013872     8.990713
   14.657286  ]
 [ -3.0201693  -14.032909     4.556174   ... -16.675049    18.747202
   -4.2366147 ]]",-4.88,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/WRLUODMOTSXWIP-BYPYZUCNSA-N_P29476_1B8Q/hetero_graph_WRLUODMOTSXWIP-BYPYZUCNSA-N_P29476_1B8Q.pt
UGSUYVUMEJOTRP-QMMMGPOBSA-N_P41240_1BYG,"[[  6.6615973 -13.487284   19.684322  ...   8.373646    4.6165686
    1.09059  ]
 [ -7.1701517  24.773643   27.559055  ... -13.116198   15.624536
    4.9885626]
 [-13.585215    2.9034572  41.13785   ...  16.513542   21.048758
   40.38771  ]
 ...
 [-20.062855  -15.400658   22.356424  ...   0.5612243  18.673061
    4.764348 ]
 [  3.6722355 -15.416948   23.823694  ... -14.487026   -2.8648467
    2.8285854]
 [  8.4598875   5.4404035   2.131988  ...   2.3556118  -3.8664675
   -4.003693 ]]",-1.08,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/UGSUYVUMEJOTRP-QMMMGPOBSA-N_P41240_1BYG/hetero_graph_UGSUYVUMEJOTRP-QMMMGPOBSA-N_P41240_1BYG.pt
SDUNKEQQLQDTTQ-YWEYNIOJSA-N_P31941_2M65,"[[-10.123091     0.26081944  -5.963004   ... -10.915127   -44.537846
   21.29278   ]
 [  0.5569382    6.9303656   21.491224   ...   0.1579113   10.318897
   -9.031263  ]
 [-26.519867    10.6929      14.747569   ... -10.594652    -8.574281
   38.790474  ]
 ...
 [  8.741962    22.409826    20.293968   ...  -4.615873     4.802126
   -1.2281983 ]
 [  1.6360085   -1.1774645    8.3181715  ...   7.020081    -2.4087062
    8.001397  ]
 [  0.11575508   0.8610778    4.590658   ... -17.667433    -4.1199417
   12.365699  ]]",-2.88,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/SDUNKEQQLQDTTQ-YWEYNIOJSA-N_P31941_2M65/hetero_graph_SDUNKEQQLQDTTQ-YWEYNIOJSA-N_P31941_2M65.pt
MBHRCNFCHFHUKZ-UHFFFAOYSA-N_P29474_1M9J,"[[ -4.550577    13.69441      1.5418053  ... -11.9151745   -2.0265665
    8.940484  ]
 [ -1.12428     25.181166     9.07202    ...  -2.9925337    5.036762
   -0.6231835 ]
 [-18.00726     11.196892     0.8369999  ... -18.032558    -9.690054
    0.3902712 ]
 ...
 [  0.29002237   0.82452154  11.167172   ...  -3.783268   -11.816199
   -6.2484627 ]
 [ 10.0883       1.4569755    8.675577   ...  -2.937395   -13.49499
  -18.09328   ]
 [ 12.2437315    1.36339     12.2028265  ...  12.9543       4.15117
   21.609587  ]]",-1.38,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/MBHRCNFCHFHUKZ-UHFFFAOYSA-N_P29474_1M9J/hetero_graph_MBHRCNFCHFHUKZ-UHFFFAOYSA-N_P29474_1M9J.pt
MWOOGOJBHIARFG-UHFFFAOYSA-N_P51649_2W8N,"[[ -7.698029     7.7865744  -21.029585   ...  -4.887047     6.806061
  -10.92858   ]
 [-15.815838     9.673465     0.37054443 ... -22.728172     8.709806
   -1.9066124 ]
 [-10.449845    11.150006   -10.112028   ...   8.611505    -0.9259443
    6.929124  ]
 ...
 [ 12.423983     2.6645608   12.98103    ...  -9.051368    12.971538
   -2.7350917 ]
 [ 22.739353    10.020233    23.592176   ...   2.5427802    3.8710973
    4.0760627 ]
 [  6.4285626   11.956253    20.96579    ...  -1.2089658  -12.449823
  -10.555408  ]]",-0.86,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/MWOOGOJBHIARFG-UHFFFAOYSA-N_P51649_2W8N/hetero_graph_MWOOGOJBHIARFG-UHFFFAOYSA-N_P51649_2W8N.pt
DCWBFOYEQOBQRC-UHFFFAOYSA-N_Q9H3R0_2XML,"[[ -1.9014902  12.271345  -31.251444  ...  39.402187   17.97293
   22.201948 ]
 [  1.070418    2.9932275 -20.77641   ...  25.242388   14.04658
  -54.041878 ]
 [-14.509298    7.6666727  -3.7933617 ...  40.895607    2.9858265
    1.5461626]
 ...
 [  3.991641   12.94883     0.5173286 ... -17.401308    2.5761466
    7.463301 ]
 [ 11.067126   10.970716   -1.9361382 ...  15.75939   -11.2467785
   -3.6345186]
 [ -6.0420914   4.506536    4.6281786 ...   7.8173814  -0.7301569
    2.2329204]]",-0.05,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/DCWBFOYEQOBQRC-UHFFFAOYSA-N_Q9H3R0_2XML/hetero_graph_DCWBFOYEQOBQRC-UHFFFAOYSA-N_Q9H3R0_2XML.pt
FFGYJZZTKYSJET-UHFFFAOYSA-N_P00371_1AN9,,,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/FFGYJZZTKYSJET-UHFFFAOYSA-N_P00371_1AN9/hetero_graph_FFGYJZZTKYSJET-UHFFFAOYSA-N_P00371_1AN9.pt
XPMCJTVMOPHXLA-UHFFFAOYSA-N_Q9HC16_3V4J,"[[ -2.9299612  -5.2836914 -46.665634  ...  16.378872   -3.97577
    2.8428617]
 [-24.666714   18.919424   -7.939743  ... -30.614082   -1.4251833
   38.755516 ]
 [ -6.259493   42.04516   -11.068505  ...  -1.3734379 -30.657017
   11.363161 ]
 ...
 [ 13.555081    3.9306502  14.464884  ...  -8.896966   -2.5198603
   -1.7088656]
 [  8.150833    4.4658933  12.332048  ...   9.626366  -13.314941
   -4.648775 ]
 [  1.4592907   7.0407577  15.881362  ...  -3.6038775   3.2964494
   13.59473  ]]",-2.02,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/XPMCJTVMOPHXLA-UHFFFAOYSA-N_Q9HC16_3V4J/hetero_graph_XPMCJTVMOPHXLA-UHFFFAOYSA-N_Q9HC16_3V4J.pt
WOYYTQHMNDWRCW-KVTDHHQDSA-N_P07752_1F2J,"[[ 2.0563989e+00  3.2131233e+01 -1.4368703e+01 ...  1.5171571e+01
  -3.1255665e+00  1.0758987e+01]
 [ 1.2643886e+00  2.1807549e+01 -2.4079453e+01 ... -1.5009817e+01
  -1.8414433e+01  8.9600182e+00]
 [-5.3805051e+00  1.4534254e+01 -2.6778917e+01 ...  4.3796396e+00
  -2.5414949e+01  2.6902733e+00]
 ...
 [ 3.2788172e+00  8.0299282e+00 -3.2018871e+00 ...  8.0089359e+00
  -1.8160701e-02  5.0299878e+00]
 [ 3.0921960e+00 -3.3711567e+00 -1.3669394e+01 ... -1.3383380e+01
   1.1295704e+01 -1.6617763e+00]
 [-7.7139244e+00  1.4838924e+00  8.0142193e+00 ...  5.1360974e+00
  -8.7616224e+00  1.9532692e+01]]",-0.89,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/WOYYTQHMNDWRCW-KVTDHHQDSA-N_P07752_1F2J/hetero_graph_WOYYTQHMNDWRCW-KVTDHHQDSA-N_P07752_1F2J.pt
XIRMGJLGVUFNAD-UHFFFAOYSA-N_P10275_1Z95,"[[ -0.6713104   8.165376  -33.844353  ...  -1.4139991   7.3789225
    1.9495409]
 [ -7.637761   15.6664295 -10.655159  ...  -2.2718368   2.8826058
    5.3622794]
 [-19.197872    8.320955  -29.199465  ...  19.116175  -24.335869
  -10.961738 ]
 ...
 [ -4.210146    1.7086239   9.686018  ...  -3.270704   -1.3711722
   -0.5834244]
 [ 19.647343   11.432539   15.88241   ... -15.137372    1.8681991
   -1.6689477]
 [  8.6001625  -2.0547152   5.304607  ...  17.055233    3.0026996
   -8.775405 ]]",0.25,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/XIRMGJLGVUFNAD-UHFFFAOYSA-N_P10275_1Z95/hetero_graph_XIRMGJLGVUFNAD-UHFFFAOYSA-N_P10275_1Z95.pt
GZOWEEMEPIMVHO-CSKARUKUSA-N_O15305_2AMY,"[[  4.8844204   -3.6286252   -8.964134   ...  -1.5689329  -15.806085
  -13.1957035 ]
 [ 19.778973   -23.257149     4.1434145  ...   5.010948    25.059053
  -19.204025  ]
 [  7.508855     3.0812802  -11.975723   ...  -2.440082    -6.8651295
   -4.2555623 ]
 ...
 [ 11.243748     4.858214     4.9436436  ...  -0.10652137  -0.9947433
    8.430438  ]
 [ 19.333883     1.9954829   19.062078   ...  -4.8239307   -0.77739763
    5.0455866 ]
 [ 24.785103     1.910778     9.260676   ...  -3.48545      2.3690302
   -3.9307075 ]]",-5.12,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/GZOWEEMEPIMVHO-CSKARUKUSA-N_O15305_2AMY/hetero_graph_GZOWEEMEPIMVHO-CSKARUKUSA-N_O15305_2AMY.pt
XPAHGXXAYUSFKN-UHFFFAOYSA-N_P11509_1Z10,"[[-15.038993    -9.767131    -2.7506294  ...  -5.823409     6.657734
   13.414423  ]
 [ -9.197258   -14.738292    -4.208892   ...  -2.7532516   17.454773
   -4.0656977 ]
 [ -9.836876   -15.954851    -4.8922224  ...   4.620797    19.603489
   -6.178399  ]
 ...
 [ 10.755709     8.866949    -0.13533926 ...  -6.447844    -7.632718
    3.0251875 ]
 [ 10.224161     8.816507    -5.9638977  ...   3.0662248   -2.3723311
   -1.6755276 ]
 [ -6.335065     2.4623413    5.519966   ...  -4.611327   -14.472056
   -3.4300175 ]]",0.14,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/XPAHGXXAYUSFKN-UHFFFAOYSA-N_P11509_1Z10/hetero_graph_XPAHGXXAYUSFKN-UHFFFAOYSA-N_P11509_1Z10.pt
ZFXYFBGIUFBOJW-UHFFFAOYSA-N_P48736_5JHB,"[[ -2.038714    -4.6876307  -17.80885    ... -13.245323    -3.3575354
   14.277781  ]
 [  0.21020317 -19.234266    -0.85942256 ...   8.082004    -2.9917092
    5.5998745 ]
 [ -6.8295946  -11.067114   -17.076582   ...   4.675089    11.452429
   11.04846   ]
 ...
 [ 18.004398     7.644342    20.654284   ...  22.720036   -17.989347
  -16.567747  ]
 [ 19.685812    -0.87243104  27.165      ... -17.371552     3.7911232
  -12.943385  ]
 [ 25.153557    11.534498    20.626307   ...  -9.3337      14.926376
    9.876387  ]]",-0.53,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/ZFXYFBGIUFBOJW-UHFFFAOYSA-N_P48736_5JHB/hetero_graph_ZFXYFBGIUFBOJW-UHFFFAOYSA-N_P48736_5JHB.pt
DLZCDBDZJMIAEQ-UHFFFAOYSA-N_P00734_1BCU,,,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/DLZCDBDZJMIAEQ-UHFFFAOYSA-N_P00734_1BCU/hetero_graph_DLZCDBDZJMIAEQ-UHFFFAOYSA-N_P00734_1BCU.pt
