<qed>0.4068|CCO
<qed>0.4839|CCC(C)CC
<qed>0.4023|NCCCNCCO
<qed>0.5341|CC(C)CCO
<qed>0.4779|OC(=O)CI
<qed>0.3588|CCCN=C=O
<qed>0.3266|CC(=O)OO
<qed>0.5341|CCC(C)CO
<qed>0.4157|C1COCCO1
<qed>0.5169|OCCCCCCO
<qed>0.4444|CCC(C)C
<qed>0.4804|OC(=O)CF
<qed>0.348|SC(S)=S
<qed>0.4185|C1NN=CO1
<qed>0.3936|OS(O)=O
<qed>0.4794|NCC(F)F
<qed>0.4217|OC(O)=O
<qed>0.6245|NCCc1ccccc1
<qed>0.4512|OCCOCCO
<qed>0.4084|C1CCCC1
<qed>0.4315|CC(N)CN
<qed>0.5338|CCCCCCN
<qed>0.4172|CCC1CO1
<qed>0.4328|ClC=CCl
<qed>0.4422|ClCCC#N
<qed>0.466|CCCCC#N
<qed>0.4202|OCC1CO1
<qed>0.3635|CCCCC=C
<qed>0.5276|CCCCNCC
<qed>0.3327|CC(N)Cl
<qed>0.4836|FCCCCCF
<qed>0.3066|CCCC=NO
<qed>0.4573|C1CSCN1
<qed>0.4332|c1cnon1
<qed>0.4473|c1cocn1
<qed>0.4601|c1cnsc1
<qed>0.4447|C=COC=C
<qed>0.3078|N#CNC#N
<qed>0.3625|C[N+]#N
<qed>0.4225|OCCCCCl
<qed>0.3863|NCCCC=O
<qed>0.3445|CCN=C=S
<qed>0.2974|CC(N)=N
<qed>0.3721|CCCOC=O
<qed>0.4578|SCCSCCS
<qed>0.4486|NCCOCCO
<qed>0.4459|NCCOCCN
<qed>0.4655|CCC(C)S
<qed>0.4097|CCSCCCl
<qed>0.4112|N#CCC#N
<qed>0.3701|OCC#CCO
<qed>0.4021|C1COCO1
<qed>0.4938|ClCOCCl
<qed>0.5276|CCCNCCC
<qed>0.3815|NCCNCCO
<qed>0.4865|CCC(C)N
<qed>0.3814|CCCCCCI
<qed>0.4919|CCCOCCC
<qed>0.5232|CCCOCCO
<qed>0.4585|COCCC#N
<qed>0.3286|CC=CC=O
<qed>0.4919|CCCCOCC
<qed>0.4535|ClCC=CCl
<qed>0.3859|NC1CONC1=O
<qed>0.4365|CCC1OC1C
<qed>0.5003|Cc1ccccc1N
<qed>0.3621|CCC=CC=O
<qed>0.3286|CC=CC=O
<qed>0.3066|CCCC=NO
<qed>0.4328|ClC=CCl
<qed>0.4958|CCC=CCO
<qed>0.4478|OCC=CCO
<qed>0.3705|NCC(O)CON
<qed>0.5314|CC(O)CBr
<qed>0.3414|ClCC1CO1
<qed>0.3839|BrCC1CO1
<qed>0.4338|CC(N)CO
<qed>0.3705|NC(N)=O
<qed>0.3705|NC(N)=O
<qed>0.3317|CCN(=O)=O
<qed>0.2895|CN(=O)=O
<qed>0.4569|CCS(C)=O
<qed>0.4132|O=S1CCC1
<qed>0.4608|CSS(C)=O
<qed>0.4794|OCC(O)CI
<qed>0.4959|O=C1NC=CC=C1
<qed>0.4714|CN1CCCNC1=S
<qed>0.5557|CN(CCCl)CCCl
<qed>0.4377|OCN1CCC1=O
<qed>0.5601|NCCc1c[nH]cn1
<qed>0.4305|S=C1NCCCN1
<qed>0.4642|O=C1CCCCN1
<qed>0.4304|O=C1NCCCN1
<qed>0.4257|CN1CCCC1=O
<qed>0.4907|Oc1ccc(O)cc1
<qed>0.3919|NCC(Cl)CON
<qed>0.4582|c1nc[nH]n1
<qed>0.4683|c1cn[nH]c1
<qed>0.4659|c1cc[nH]c1
<qed>0.4834|Clc1ccccc1
<qed>0.4852|CCCC(=O)OC
<qed>0.542|Brc1ccccc1
<qed>0.3966|CCCCCCCC=O
<qed>0.5628|CCCCC(O)CN
<qed>0.4486|O=C1CCCCC1
<qed>0.4295|NCCCCNCCCN
<qed>0.5436|CCC1CCCCN1
<qed>0.5313|CCc1ccncc1
<qed>0.5313|CCc1cccnc1
<qed>0.4977|CCN1CCCCC1
<qed>0.5446|CCCCCCCCCO
<qed>0.6346|NCCc1nccs1
<qed>0.3931|CNCC(O)CON
<qed>0.5446|NCCCCSCCCN
<qed>0.5282|NCCCCCCCCN
<qed>0.4998|NCCCS(O)=O
<qed>0.5699|NCc1ccccn1
<qed>0.4361|ON1CCCC1=O
<qed>0.5098|CCC(C)(C)O
<qed>0.4852|CCOC(=O)CC
<qed>0.4852|CCCOC(C)=O
<qed>0.32|OCCNCCNCCO
<qed>0.5043|CCCCCN(C)C
<qed>0.495|O=CNC1CCC1
<qed>0.4241|O=C1CCC=C1
<qed>0.5716|CCN(CC)CCN
<qed>0.3206|CC(=O)NC#N
<qed>0.5347|CN(C)CCCCN
<qed>0.4036|NCCCCNCC=C
<qed>0.5037|O=Cc1ccsc1
<qed>0.5286|CSc1cnccn1
<qed>0.3443|ClC1NCC=N1
<qed>0.5368|CCc1cnccn1
<qed>0.5272|COc1cnccn1
<qed>0.5328|CSC1NCC=N1
<qed>0.504|CCC1NCC=N1
<qed>0.3921|NC1NCC=N1
<qed>0.5004|OCC(Cl)Cl
<qed>0.5684|Ic1ccccc1
<qed>0.4849|Sc1ccccc1
<qed>0.1272|NNC(=O)NO
<qed>0.4904|Cc1cn[nH]c1
<qed>0.4328|ClC(Cl)=C
<qed>0.5314|CCC(C)CBr
<qed>0.4776|CC(C)=CBr
<qed>0.5358|ClC(Br)Br
<qed>0.3403|CC(=C)CCl
<qed>0.5314|CC(C)CCBr
<qed>0.511|CC(Br)CCl
<qed>0.4451|NC1=NCCC1
<qed>0.4276|CC(C)=CCl
<qed>0.358|CON(C)N=O
<qed>0.3659|CCN(C)N=O
<qed>0.4486|NC(=O)CCO
<qed>0.2738|OC(=C)C=O
<qed>0.3981|C=CCSCC=C
<qed>0.4772|COCC(N)=O
<qed>0.4072|OCC(O)C=O
<qed>0.4565|OCCCCSC#N
<qed>0.4383|NC1CCNCC1
<qed>0.3969|N#CCCSC#N
<qed>0.4301|NCC(=O)CN
<qed>0.2693|NCC(=O)NO
<qed>0.2884|C=CCN=C=S
<qed>0.5816|NCc1cccs1
<qed>0.5163|Oc1cccnc1
<qed>0.1961|NCC(=O)NN
<qed>0.5816|NCc1ccsc1
<qed>0.4889|ON1CCCCC1
<qed>0.4368|O=C1CCCN1
<qed>0.4776|CC1CCCNC1
<qed>0.4366|OCP(CO)CO
<qed>0.4393|CN1CCCCC1
<qed>0.5184|CCN(CC)CC
<qed>0.44|OC1CCNCC1
<qed>0.5127|Nc1ccncc1
<qed>0.4117|CNCC(O)CO
<qed>0.4768|CC(C)NC=O
<qed>0.4754|NCCC(O)=O
<qed>0.4953|Nc1ccncn1
<qed>0.4696|CNCC(O)=O
<qed>0.5625|OCc1ccco1
<qed>0.3785|CCSC(N)=N
<qed>0.4604|O=C1CNCS1
<qed>0.4777|CCCCCCCCC
<qed>0.4145|CONC(N)=O
<qed>0.422|NC(=O)C=C
<qed>0.4256|NOCC(O)=O
<qed>0.4716|O=NN1CCNCC1
<qed>0.5813|BrC(Br)Br
<qed>0.4806|ClC(Cl)Br
<qed>0.445|NC(=O)CCl
<qed>0.6234|CNCc1ccccc1
<qed>0.4318|O=NN1CCC1
<qed>0.4996|OC(=O)CCS
<qed>0.469|NC1=NCCS1
<qed>0.2667|S=C=NCC#C
<qed>0.5625|OCc1ccoc1
<qed>0.1443|CNC(N)=NN
<qed>0.4085|C1CCCCCC1
<qed>0.4472|ClCCSCCCl
<qed>0.495|CCOC(N)=O
<qed>0.4382|FC(F)CCl
<qed>0.3791|C1CC=CC1
<qed>0.4745|Cc1cnccn1
<qed>0.391|OOC1CCCO1
<qed>0.4097|Nn1cnnc1
<qed>0.4299|COC(N)=O
<qed>0.4641|NC1CCCC1
<qed>0.5156|CSCCNCCN
<qed>0.3614|NCCCNCCS
<qed>0.3744|O=C1CCO1
<qed>0.4048|CC(O)C#N
<qed>0.3998|NCCCNCCN
<qed>0.4389|CC1NCC=N1
<qed>0.4803|ClCC(Cl)Cl
<qed>0.5606|CCCn1ccnc1
<qed>0.5534|SCc1cccs1
<qed>0.4427|OCCSSCCO
<qed>0.5035|COCCOCCO
<qed>0.4617|CCC(N)=O
<qed>0.4231|NCC(S)=O
<qed>0.4392|Cn1cccc1
<qed>0.3244|C=CC1CO1
<qed>0.4722|CC(O)CCl
<qed>0.4998|CN(C)CCS
<qed>0.4194|CC(C)C=O
<qed>0.4081|OCC(O)CS
<qed>0.3436|CNC(S)=S
<qed>0.3414|ClCC1CO1
<qed>0.4629|Cc1ccco1
<qed>0.4185|CC(C)C#N
<qed>0.4162|C1OCOCO1
<qed>0.4374|N#CCCC#N
<qed>0.4794|Cc1cscn1
<qed>0.4299|CC1CCCO1
<qed>0.3645|C=CCCC#N
<qed>0.5047|Nc1nncs1
<qed>0.2811|C=CCOC=O
<qed>0.4588|CSC(N)=S
<qed>0.5264|OCCCSCCO
<qed>0.5024|CCOCCOCC
<qed>0.3321|NC(=N)CF
<qed>0.3672|CNC(N)NC
<qed>0.388|C1OOCOO1
<qed>0.4182|OCS(O)=O
<qed>0.4737|C1CSCCN1
<qed>0.3637|COC(S)=S
<qed>0.4089|NCCCCC=O
<qed>0.4503|FC1CCNC1
<qed>0.4846|CCCN(C)C
<qed>0.4846|CCN(C)CC
<qed>0.4428|OC1CCOC1
<qed>0.379|CCCN=C=S
<qed>0.4924|CC(CO)CS
<qed>0.2197|CC(=O)NN
<qed>0.3901|CCCCOC=O
<qed>0.4844|CC(CO)CO
<qed>0.3839|BrCC1CO1
<qed>0.4745|C1CSCCS1
<qed>0.4627|COC(C)OC
<qed>0.5037|CCN(O)CC
<qed>0.3069|CCCCON=O
<qed>0.4384|CC=CCC#N
<qed>0.4384|CCC=CC#N
<qed>0.5157|COCC(C)N
<qed>0.4905|CC(O)CCO
<qed>0.5174|COCC(C)O
<qed>0.2476|O=CNNC=O
<qed>0.267|ON=CC=NO
<qed>0.5018|BrCCCCBr
<qed>0.4434|CCCCCCBr
<qed>0.4433|SC1CCCC1
<qed>0.4305|NCCCCCCS
<qed>0.4037|NCC(N)CS
<qed>0.234|NC(=N)CS
<qed>0.2705|NC(=S)NO
<qed>0.4751|OCC(O)CF
<qed>0.4535|ClCC=CCl
<qed>0.5441|CCCCCCCN
<qed>0.3873|CCCCOC=C
<qed>0.6004|OC(CI)CI
<qed>0.2786|CC(=O)C=NO
<qed>0.385|Nc1ccccc1O
<qed>0.4158|CC1CCOC1=O
<qed>0.4758|Cc1ccccc1C
<qed>0.5359|Cc1ccccc1O
<qed>0.3438|CC=C(C)C=O
<qed>0.4596|CC1CCNC1=O
<qed>0.4489|CC=CC(N)=O
<qed>0.4839|Nc1ccccc1N
<qed>0.4969|Cc1nccnc1C
<qed>0.4337|CN1CC=NC1N
<qed>0.4539|CCNC(N)=S
<qed>0.3908|ClCC=CCCl
<qed>0.4804|Cc1ccoc1C
<qed>0.4384|CC=CCC#N
<qed>0.4384|CCC=CC#N
<qed>0.5304|CCC=CCCO
<qed>0.5304|CCCC=CCO
<qed>0.5304|CCC=CCCO
<qed>0.4476|CC=CCC=C
<qed>0.4384|CCC=CC#N
<qed>0.5005|CN1C=CNC1=S
<qed>0.4905|CC(O)CCO
<qed>0.4883|CCC(N)CO
<qed>0.5862|CSCCC(N)CS
<qed>0.508|CCS(=O)CC
<qed>0.3705|NCC(O)CON
<qed>0.4244|NC(CS)C(O)=O
<qed>0.3164|ONN(=O)=O
<qed>0.4549|CC(Cl)CCl
<qed>0.3348|CNN(=O)=O
<qed>0.3305|CSC(N)=N
<qed>0.3347|ON(O)N=O
<qed>0.403|OC1COCC1O
<qed>0.3427|OC1CNCC1O
<qed>0.4478|OC1CCCC1O
<qed>0.3879|S=C1SSC=C1
<qed>0.4758|FC1CCNCC1
<qed>0.4509|CN1CCCCC1=O
<qed>0.4594|S=C1NCCCCN1
<qed>0.4099|CN(C)C(C)=O
<qed>0.4514|CC(N)C(O)=O
<qed>0.4881|CCN1CCCC1=O
<qed>0.4598|O=C1NCCCCN1
<qed>0.6128|COc1ccc(O)cc1
<qed>0.5669|CCCCCC(O)=O
<qed>0.6005|Cn1cncc1CCN
<qed>0.4884|N#Cc1ccccc1
<qed>0.4956|O=Cc1ccccc1
<qed>0.5441|CCCCCC(O)CN
<qed>0.4373|O=C1CCCCCC1
<qed>0.5117|CCCCCC(C)=O
<qed>0.6022|NCCC1CCCCC1
<qed>0.5044|COC1CNC=NC1
<qed>0.5831|CCCc1ccccn1
<qed>0.5974|CCCC1CCCCN1
<qed>0.4034|CC(C)(C)COO
<qed>0.4113|CS(C)(=O)=O
<qed>0.5305|CC(C)(C)CCO
<qed>0.4291|CNCCCNCCCNC
<qed>0.4205|C1CCCC=CCC1
<qed>0.4054|ON1CNCCC1=O
<qed>0.6045|CCCCC(CC)CO
<qed>0.6229|NCCc1ccccn1
<qed>0.4386|NCCCCNCCCCN
<qed>0.4565|CC(N)P(O)=O
<qed>0.4382|OC(=O)C1CO1
<qed>0.4343|CCNCCCNCCCN
<qed>0.4515|CC(=O)OCCBr
<qed>0.4237|CSCCOC(C)=O
<qed>0.3819|NCP(O)(O)=O
<qed>0.4263|CCCCCCCNC=O
<qed>0.5201|CCCC(=O)OCC
<qed>0.5331|Cc1nsc(N)n1
<qed>0.3775|CCOC(=O)C=C
<qed>0.412|O=C1OCCC=C1
<qed>0.2655|CCOC(=O)C#C
<qed>0.4049|CNCCCCNCC=C
<qed>0.4685|CCN(CC)C(S)=S
<qed>0.4069|CNCCCCNCC#C
<qed>0.4634|NC1=CONC1=O
<qed>0.3704|NS(O)(=O)=O
<qed>0.3101|CCCCN=C(N)N
<qed>0.5147|CN(CCN)CCCN
<qed>0.5366|NCCCCCC(O)=O
<qed>0.5177|NC1=NCCSCC1
<qed>0.4386|NCCCCCNCCCN
<qed>0.4737|NNCCc1ccccc1
<qed>0.5865|CCOc1cnccn1
<qed>0.5833|CCSc1cnccn1
<qed>0.4605|CCN1CCC=CC1
<qed>0.5991|CCCCn1ccnc1
<qed>0.505|O=Nc1ccccc1
<qed>0.3256|NCCCNOCCCN
<qed>0.3692|C[S+](C)C
<qed>0.385|Nc1ccc(O)cc1
<qed>0.5107|NCCCP(O)=O
<qed>0.5989|CSCCC(O)=O
<qed>0.4707|OCC(F)(F)F
<qed>0.4411|C1NC=NC=C1
<qed>0.3396|NP(O)(O)=O
<qed>0.4301|CP(O)(O)=S
<qed>0.4637|CC(C)(N)CO
<qed>0.4101|CP(O)(O)=O
<qed>0.5504|OCCN1CCCC1
<qed>0.5564|CCCCCC(C)N
<qed>0.4684|CCCCCCCCCC
<qed>0.5278|CSc1nccn1C
<qed>0.4448|CCCCCNCC#N
<qed>0.4245|CCC(C)(C)C
<qed>0.4156|NC(=N)SCCF
<qed>0.3676|CCOC(=O)NO
<qed>0.6346|NCCc1cscn1
<qed>0.4535|ClCC(Cl)=C
<qed>0.4449|CCCCCCCCBr
<qed>0.3991|CCCCCCCCCl
<qed>0.4214|NC1=NCCCN1
<qed>0.4548|NC1=NCCCO1
<qed>0.3144|NNCCC(O)=O
<qed>0.3665|CN(C=C)N=O
<qed>0.2916|COCN(C)N=O
<qed>0.3932|CCN(CC)N=O
<qed>0.3932|CCCN(C)N=O
<qed>0.3889|O=C1OCC=C1
<qed>0.5|NC(=O)CCCl
<qed>0.5759|CNc1ccccc1
<qed>0.493|NC(=O)CCCO
<qed>0.469|OCCCCCSC#N
<qed>0.4897|O=Cc1ccco1
<qed>0.5179|CSc1ccccc1
<qed>0.5279|CCCCC(C)=O
<qed>0.3053|NCCC(=O)NO
